ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,Unnamed: 18
23,A_Baseline,1,6,-0.2158862,0.4946103,0.9000004,-0.19324,0.479422,0.9000004,-0.1932394,0.4794216,0.8316915,-0.134298,0.4891014,0.7357684,0.0683089,202404111454313822,
23,A_Baseline,1,0,0.2249999,0.558,0.9000006,0.2005215,0.5541468,0.899977,0.2005218,0.5541462,0.8053012,0.2120212,0.5505559,0.6929453,0.09467581,202404111454358009,
23,A_Baseline,1,5,-0.2158861,0.6213899,0.9000004,-0.2273364,0.606106,0.8996865,-0.227337,0.6061061,0.7998102,-0.1678649,0.6029087,0.7037798,0.0998762,202404111454412750,
23,A_Baseline,1,10,0.1892818,0.4363558,0.9000005,0.1653987,0.4372359,0.8999046,0.1653991,0.437236,0.8287088,0.1827476,0.4516624,0.7179843,0.07119576,202404111454443867,
23,A_Baseline,1,4,-0.147344,0.7280437,0.9000004,-0.1229797,0.716271,0.9000005,-0.1229789,0.7162706,0.8188607,-0.08246593,0.6922635,0.7161407,0.08113978,202404111454512531,
23,A_Baseline,1,9,0.09346815,0.3533328,0.9000005,0.1015876,0.3762048,0.8999227,0.1015876,0.3762048,0.8489099,0.1253556,0.4011049,0.7412808,0.05101274,202404111454553333,
23,A_Baseline,2,3,-0.03202109,0.7807099,0.9000005,-0.05591943,0.763409,0.9000004,-0.05591871,0.7634086,0.8237634,-0.02917604,0.730655,0.7189728,0.07623697,202404111455058343,
23,A_Baseline,2,8,-0.03202107,0.3352903,0.9000004,-0.05696196,0.35897,0.9000005,-0.05696128,0.3589697,0.8249924,-0.004644024,0.3801717,0.7271026,0.07500803,202404111455245002,
23,A_Baseline,2,2,0.09346813,0.7626672,0.9000005,0.06959108,0.7787929,0.9000005,0.06959166,0.7787926,0.8064489,0.08502753,0.7371626,0.7025371,0.09355156,202404111455305208,
23,A_Baseline,2,7,-0.1473439,0.3879564,0.9000004,-0.1243196,0.3729733,0.9000004,-0.124319,0.3729729,0.8104056,-0.06711096,0.4006243,0.7169625,0.08959483,202404111455342337,
23,A_Baseline,2,1,0.1892818,0.6796442,0.9000006,0.213212,0.6758741,0.8999234,0.2132118,0.6758741,0.8010457,0.2190898,0.6459245,0.6922454,0.09887777,202404111455427432,
23,A_Baseline,2,6,-0.2158862,0.4946103,0.9000004,-0.1916465,0.4851576,0.9000003,-0.1916458,0.4851572,0.8479186,-0.1348061,0.4920772,0.7505001,0.05208172,202404111455452674,
23,A_Baseline,2,0,0.2249999,0.558,0.9000006,0.2267251,0.5480173,0.8995597,0.2267253,0.5480168,0.7998516,0.2361964,0.5436864,0.6873323,0.09970806,202404111455498334,
23,A_Baseline,2,5,-0.2158861,0.6213899,0.9000004,-0.2314548,0.6233747,0.89962,-0.2314553,0.6233748,0.8003891,-0.1714621,0.616802,0.7048557,0.09923095,202404111455529512,
23,A_Baseline,2,10,0.1892818,0.4363558,0.9000005,0.1652245,0.4473025,0.9000005,0.165225,0.4473022,0.8136204,0.1859906,0.4598878,0.7032602,0.08638005,202404111455563098,
23,A_Baseline,2,4,-0.147344,0.7280437,0.9000004,-0.1228431,0.7034435,0.9000004,-0.1228423,0.7034429,0.8195388,-0.08012082,0.6816697,0.7172168,0.08046155,202404111455590994,
23,A_Baseline,2,9,0.09346815,0.3533328,0.9000005,0.07852674,0.376243,0.9000006,0.07852726,0.3762427,0.8357291,0.1087012,0.4014419,0.7297879,0.06427146,202404111456018995,
24,D_RobotHorizontal,1,3,-0.03202097,0.7807097,0.9,-0.05524619,0.7610728,0.9000001,-0.05524606,0.7610731,0.8013996,-0.06873332,0.7417274,0.6908877,0.09860047,202404111632350973,
24,D_RobotHorizontal,1,8,-0.03202105,0.3352901,0.9,-0.007427524,0.3310072,0.9000002,-0.007427409,0.3310073,0.8613347,-0.03014408,0.3744136,0.7595072,0.03866541,202404111632487819,
24,D_RobotHorizontal,1,2,0.09346823,0.7626671,0.9,0.07870834,0.7838702,0.9,0.07870847,0.7838703,0.8003629,0.04271815,0.7636105,0.6951811,0.09963705,202404111633247662,
24,D_RobotHorizontal,1,7,-0.1473439,0.3879563,0.8999999,-0.1696863,0.3673913,0.9,-0.1696862,0.3673913,0.8071327,-0.1946356,0.409319,0.7052082,0.0928673,202404111635245733,
24,D_RobotHorizontal,1,1,0.1892819,0.679644,0.9,0.1683073,0.6546819,0.9,0.1683075,0.654682,0.8028458,0.1393937,0.6574278,0.693642,0.09715423,202404111636425030,
24,D_RobotHorizontal,1,6,-0.2158861,0.4946102,0.9,-0.1912601,0.5016971,0.9,-0.19126,0.5016971,0.8102326,-0.1860522,0.5227062,0.6993249,0.08976736,202404111637519748,
24,D_RobotHorizontal,1,0,0.2249999,0.558,0.9000002,0.2006595,0.5636696,0.9,0.2006597,0.5636697,0.8183016,0.170383,0.5790632,0.7105273,0.08169843,202404111638252835,
24,D_RobotHorizontal,1,5,-0.2158861,0.6213899,0.9000001,-0.1921949,0.6376954,0.9,-0.1921947,0.6376956,0.8531504,-0.2154885,0.6413627,0.742638,0.04684965,202404111638447997,
24,D_RobotHorizontal,1,10,0.1892817,0.4363557,0.9,0.1930572,0.4609032,0.9,0.1930573,0.4609033,0.8228421,0.1558713,0.4940596,0.7214178,0.07715797,202404111639055053,
24,D_RobotHorizontal,1,4,-0.1473438,0.7280436,0.8999999,-0.1334943,0.7034053,0.9,-0.1334942,0.7034055,0.8074625,-0.1545502,0.7039182,0.6964427,0.09253761,202404111639333632,
24,D_RobotHorizontal,1,9,0.09346808,0.3533327,0.9,0.06913012,0.373237,0.9,0.06913026,0.3732372,0.8526328,0.0379361,0.4140192,0.7519711,0.04736722,202404111639432880,
24,D_RobotHorizontal,2,3,-0.03202097,0.7807097,0.9,-0.01626058,0.7575451,0.9,-0.01626043,0.7575452,0.8058942,-0.04223409,0.7340295,0.6984633,0.09410585,202404111641364809,
24,D_RobotHorizontal,2,8,-0.03202105,0.3352901,0.9,-0.05693363,0.3415654,0.9,-0.05693349,0.3415655,0.8875926,-0.07411944,0.381567,0.7833166,0.01240743,202404111641454892,
24,D_RobotHorizontal,2,2,0.09346823,0.7626671,0.9,0.06885331,0.7801785,0.9,0.06885345,0.7801788,0.8109672,0.03897258,0.7645575,0.7031148,0.08903278,202404111642509480,
24,D_RobotHorizontal,2,7,-0.1473439,0.3879563,0.8999999,-0.1681553,0.4121846,0.9,-0.1681552,0.4121847,0.8425757,-0.168341,0.4582999,0.739414,0.05742432,202404111643090292,
